month,model,n_obs,direction_accuracy,balanced_accuracy,f1_positive,mcc,rmse_return,mae_return
2023-12,VAR market system,21,0.42857142857142855,0.5357142857142857,0.5,0.08574929257125442,0.017273000552580995,0.01253630477268806
2023-12,VARX/Ridge news system,21,0.5714285714285714,0.5357142857142857,0.4,0.06933752452815364,0.017513544357339744,0.014076568362652636
2024-01,ARIMAX market,23,0.4782608695652174,0.5317460317460317,0.4,0.07056748320332842,0.021605007455837266,0.01675433948006574
2024-01,ARIMAX simple news,23,0.43478260869565216,0.49603174603174605,0.3157894736842105,-0.00939060283031685,0.022504574749640054,0.017599081589530344
2024-01,LLM multi-agent hybrid,23,0.5217391304347826,0.5277777777777778,0.56,0.054278245606577465,0.01681673085352296,0.013157046822475878
2024-01,Market-only Ridge/LogReg,23,0.4782608695652174,0.5119047619047619,0.45454545454545453,0.02439750182371333,0.018446632088094436,0.015142330422874248
2024-01,Naive previous return,23,0.6521739130434783,0.6349206349206349,0.7142857142857143,0.2698412698412698,0.01580455498315372,0.012800093509442063
2024-01,VAR market system,23,0.5652173913043478,0.5238095238095238,0.6666666666666666,0.05050762722761054,0.016970857378688444,0.012992799677651903
2024-01,VARX/Ridge news system,23,0.5217391304347826,0.5476190476190476,0.5217391304347826,0.09523809523809523,0.018900603192947958,0.014879524064933666
2024-02,ARIMAX market,21,0.42857142857142855,0.4861111111111111,0.14285714285714285,-0.046829290579084706,0.013510303890171394,0.011667140803497348
2024-02,ARIMAX simple news,21,0.42857142857142855,0.4861111111111111,0.14285714285714285,-0.046829290579084706,0.014597989116753913,0.012492034135187981
2024-02,LLM multi-agent hybrid,21,0.5714285714285714,0.5833333333333333,0.5714285714285714,0.16666666666666666,0.011968516660998884,0.01067814258852621
2024-02,Market-only Ridge/LogReg,21,0.5238095238095238,0.5833333333333334,0.2857142857142857,0.2809757434745082,0.012439481845496302,0.01022831678716792
2024-02,Naive previous return,21,0.42857142857142855,0.4305555555555556,0.45454545454545453,-0.13762047064079508,0.015858031632900088,0.012492720340108525
2024-02,VAR market system,21,0.6190476190476191,0.5694444444444444,0.7333333333333333,0.19641855032959651,0.011662003568773187,0.008295288178519213
2024-02,VARX/Ridge news system,21,0.42857142857142855,0.4861111111111111,0.14285714285714285,-0.046829290579084706,0.014448256596523924,0.011712123205343669
2024-03,ARIMAX market,21,0.5238095238095238,0.4861111111111111,0.2857142857142857,-0.032274861218395144,0.0132952360558212,0.010623328801565813
2024-03,ARIMAX simple news,21,0.6190476190476191,0.6111111111111112,0.5555555555555556,0.2222222222222222,0.012249301774974792,0.010125984977006303
2024-03,LLM multi-agent hybrid,21,0.2857142857142857,0.3333333333333333,0.4444444444444444,-0.4714045207910316,0.020650834243144425,0.018075921924082805
2024-03,Market-only Ridge/LogReg,21,0.42857142857142855,0.4444444444444444,0.45454545454545453,-0.11322770341445958,0.014271462467676261,0.01171024622872964
2024-03,Naive previous return,21,0.42857142857142855,0.4305555555555556,0.4,-0.13762047064079508,0.017141026585332488,0.015868328942990225
2024-03,VAR market system,21,0.42857142857142855,0.4583333333333333,0.5,-0.09128709291752768,0.012367711770184494,0.010102422284970741
2024-03,VARX/Ridge news system,21,0.3333333333333333,0.3472222222222222,0.36363636363636365,-0.31137618438976383,0.0159847174463146,0.01337558650520721
2024-04,ARIMAX market,22,0.6818181818181818,0.6282051282051282,0.46153846153846156,0.3268602252303067,0.01938473943974134,0.01488821384382341
2024-04,ARIMAX simple news,22,0.6363636363636364,0.5726495726495726,0.3333333333333333,0.20817020153834942,0.019459706368033063,0.014986203041086145
2024-04,LLM multi-agent hybrid,22,0.7272727272727273,0.717948717948718,0.6666666666666666,0.4358974358974359,0.016673151554514782,0.011630106564155201
2024-04,Market-only Ridge/LogReg,22,0.5909090909090909,0.6025641025641025,0.5714285714285714,0.20254787341673333,0.01790664953371385,0.012937095814362259
2024-04,Naive previous return,22,0.5454545454545454,0.5299145299145299,0.4444444444444444,0.05982905982905983,0.018488138954259083,0.016206856687377504
2024-04,VAR market system,22,0.4090909090909091,0.48290598290598286,0.5517241379310345,-0.05847053462046861,0.018803359242564304,0.01444038917868645
2024-04,VARX/Ridge news system,22,0.5909090909090909,0.6367521367521367,0.64,0.3019405424385589,0.01834912088989211,0.012718652463359053
2024-05,ARIMAX market,23,0.782608695652174,0.7633928571428572,0.6666666666666666,0.5089233500149862,0.013814808898904657,0.01061449643056241
2024-05,ARIMAX simple news,23,0.8260869565217391,0.7946428571428572,0.7142857142857143,0.5892857142857143,0.013676430605252496,0.010580098611470077
2024-05,LLM multi-agent hybrid,23,0.34782608695652173,0.53125,0.4827586206896552,0.14101901870444156,0.01846904412778128,0.015403005264439606
2024-05,Market-only Ridge/LogReg,23,0.30434782608695654,0.5,0.4666666666666667,0.0,0.01924986773247424,0.01595569524431363
2024-05,Naive previous return,23,0.391304347826087,0.28125,0.0,-0.4375,0.022614670690934154,0.018564732345775718
2024-05,VAR market system,23,0.30434782608695654,0.41964285714285715,0.38461538461538464,-0.195099743142927,0.015543977875955113,0.011773909767202561
